date,event_id,time,competition,match,group,acestream_id,quality
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,f8d5e39a49b9da0215bbd3d9efb8fb3d06b76892,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,520950d296c952e1864a08e15af9f89f1ab514ec,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,e2b8a4aba2f4ea3dd68992fcdb65c9e62d910b05,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,74defb8f4ed3a917fd07c21b34f43c17107ec618,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,ae16a8f004b1287ee1f53263ab265f72bba0daf5,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,a231b2fa1f7754433efeb8bb8d69d7b9096dcba8,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,6538b79ce0da657d8455d1da6a5f342398899a0e,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,50a8a13c474848d1efbd5586efdb5b6cdd173fa9,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,4141892f5df7d6474bf0279895ce02b7336c9928,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,ee4dc45720d3ec283f61189fbfc120c91d5141bf,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,e2887cdef86768a4253e9810169943a07e54cf62,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,688e785893b50acc1d00cb37f15bfc42e72f5ae3,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,8b081c8afbd9beafc8c5fbf0115eb36eadb07a35,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,9adf7ac6531788ec022dbc14b77e1367f6c5bdc5,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,2f9211669499f413dab1a490198afab2a9b4b57c,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,8a86cd6152154a25ad4b76523160552a40313b28,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,6fb944e8985881ae6db89667aca6362e746255b6,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,6a11eb510edc5b3581c5c97883c44563eb894b1b,FHD
2025-09-04,14:00-Francia-Islandia,14:00,Eurobasket Fase de grupos,Francia vs Islandia,DAZN,6422e8bc34282871634c81947be093c04ad1bb29,FHD
